Lifetime,Ntargets,Mass,Ixx,Iyy,Izz,SurfaceArea,Altitude,Eccentricity,Nsats,Nplanes,MaxPointing,GResOff,GSD,Wavelength,NPixCrosstrack,NPixVelocity,PixelSize,Nbits,ArealDensity,ADCSConf,Reflectance,MaxSolarAngle,OffsetCPsolar,OffsetCPaero,ResidualDipole,DragCoefficient,RWMarginFactor,ThrusterMomentArm,NumberofRW,NumberofSunSensors,NumberofMagnetometers,NumberofMagneticTorquers,ADCSSpecificImpulse,ULRequiredEbN0,ULEbN0Margin,ImplementationLoss,ULTXPower,ULTXAntennaDiameter,ULTXLineLoss,GroundAntennaMinElevation,ULFrequency,ULDataRate,ULTXAntennaPointingOffset,ULRXAntennaEfficiency,TTCRedundancy,DLRequiredEbN0,DLEbN0Margin,DLFrequency,DLRXAntennaPointingOffset,DLRXAntennaDiameter,DLTXLineLoss,CompressionFactor,NGroundStations,LatGroundStations,LonGroundStations,Inclination,Semimajor,Velocity,VelocityPer,VelocityApo,Period,Density,MeanAngMotion,Rho,Epsilon,Lambda,Range,CoverageWidth,TorqueGravity,TorqueMagnetic,TorqueSolar,TorqueAero,MaxTorque,RWTorque,RWMomentum,RWMaxOmega,MGTorquersDipole,ThrusterForce,ThrusterNpulses,ADCSDelta_V,ADCSDelta_VD,ADCSDelta_VS,ADCDVS_VT,ADCSPropellantMass,MassADCS,PeakPowerADCS,AvgPowerADCS,OffPowerADCS,Aperture,Flength,FOVc,GResNadir,AngleHorizSTK,AngleVertSTK,ImageSize,MassOptics,PeakPowerOptics,AvgPowerOptics,OffPowerOptics,ULRXAntennaDiameter,ULRXAntennaGain,ULRXAntennaBeamwidth,DLDataRate,DLTXPower,DLTXAntennaBeamwidth,DLTXAntennaGain,DLTXAntennaDiameter,MassComm,PeakPowerComm,AvgPowerComm,OffPowerComm,MassPower,SolarArrayPower,SolarArrayArea,MassThermal,PeakPowerThermal,AvgPowerThermal,OffPowerThermal,MassProp,PeakPowerProp,AvgPowerProp,OffPowerProp,MassOBDH,PeakPowerOBDH,AvgPowerOBDH,OffPowerOBDH,Volume,Inertia,MassStruct,Cost,Power,InTheaterAccessDuration,CoverageTime,FinalCoverage,RevisitTimeMax,RevisitTimeMean,ResponseTimeMax,ResponseTimeMean,CommDurationMax,CommDurationMean,CommDurationMin,CommRespTimeMax,CommRespTimeMean,NImagesPerDay,Fields,DataVolume,CommDurationTotal,PowerPower,CostPerImage
2,5,197.5222,90,60,90,3,467,0,2,1,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,224007.8177,101.6796,100.497,,,86400,70804.5955,86400,70804.5955,660.792,525.0585,255.0312,,,1.2203,,172800000,4200.4684,16.9466,50.2942
2,5,197.5222,90,60,90,3,467,0,2,2,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,224007.8177,101.6796,100.497,,,86400,58625.7512,86400,58625.7512,661.7639,506.9849,99.1126,,,1.4738,,172800000,8111.7584,16.9466,41.6433
2,5,197.5222,90,60,90,3,467,0,2,4,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,224007.8177,101.6796,100.497,,,86400,46623.3665,86400,46623.3665,661.7639,508.0101,99.1126,,,1.8531,,172800000,16739.9349,16.9466,33.1177
2,5,197.5222,90,60,90,3,467,0,4,1,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,312282.2513,101.6796,100.497,,,86400,57425.5012,86400,57425.5012,660.792,525.8658,255.0312,,,1.5046,,172800000,8413.8522,16.9466,56.8651
2,5,197.5222,90,60,90,3,467,0,4,2,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,312282.2513,101.6796,100.497,,,86400,41612.3994,86400,41612.3994,661.7639,520.1542,99.1126,,,2.0763,,172800000,16644.9332,16.9466,41.2063
2,5,197.5222,90,60,90,3,467,0,4,4,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,312282.2513,101.6796,100.497,,,44446.3593,24270.1455,44446.3593,24270.1455,661.7639,521.1578,99.1126,,,3.5599,,172800000,33743.8005,16.9466,24.0333
2,5,197.5222,90,60,90,3,467,0,6,1,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,397198.0289,101.6796,100.497,,,86400,47029.0517,86400,47029.0517,661.6607,540.4308,255.0312,,,1.8372,,172800000,12391.1307,16.9466,59.2334
2,5,197.5222,90,60,90,3,467,0,6,2,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,397198.0289,101.6796,100.497,,,86400,28562.669,86400,28562.669,661.7639,529.7978,99.1126,,,3.0249,,172800000,24851.0868,16.9466,35.9749
2,5,197.5222,90,60,90,3,467,0,6,4,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.16251,0.88302,0.16251,20.1625,1728000000,9.8089,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9752,66.9926,32.9204,397198.0289,101.6796,100.497,,,33355.8083,16953.1149,33355.8083,16953.1149,661.7639,528.923,99.1126,,,5.0964,,172800000,50023.7934,16.9466,21.3526
2,5,285.6201,90,60,90,3,567,0,2,1,20,1,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.6583,6945.137,7.5758,7.5758,7.5758,5760.1285,5.3727e-12,0.0010908,66.6875,68.1348,1.8652,606.9852,412.7422,3.4417e-05,4.7523e-05,6.5616e-06,0.00018501,0.00018501,0.067458,0.18839,0.0020932,66.0708,0,0,0,0,0,0,0,18.7239,66.0662,14.9732,0.25,0.78338,12.8423,0.13384,0.88302,0.13384,20.1338,1728000000,14.4595,50.136,50.136,10.0272,0.064381,0,163.0907,166393169.3868,227.9574,148.2643,0.87927,0.064381,4.1119,735.7793,1.25,0.25,185.7215,458.7987,2.1803,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,2.8562,123.8743,47.6034,243283.1402,211.2355,122.077,,,86400,68494.2353,86400,68494.2353,739.8997,564.9244,198.1619,,,1.2614,,172800000,5030.9414,35.2059,52.8396
